h1,h2,h3
957,20422,00
958,18871,00
959,18193,00
960,12543,00
961,19210,00
962,17289,00
963,18758,00
964,19210,00
965,20340,00
966,15449,00
967,19097,00
968,19888,00
969,5198,00
970,9379,00
971,7345,00
972,11074,00
973,13560,00
974,11526,00
975,8136,00
976,11526,00
977,10057,00
978,11865,00
979,12656,00
980,6554,00
981,12543,00
982,16159,00
983,10622,00
984,15255,00
985,14916,00
986,13221,00
987,13899,00
988,14916,00
989,14012,00
990,14238,00
991,10057,00
992,16159,00
993,13560,00
994,11978,00
995,11978,00
996,14577,00
997,9379,00
998,15255,00
999,17402,00
1000,14803,00
1001,14690,00
1002,14690,00
1003,14690,00
1004,21922,00
1005,14125,00
1006,15820,00
1007,10283,00
1008,18306,00
1009,16724,00
1010,20227,00
1011,21922,00
1012,5876,00
1013,13108,00
1014,10848,00
1015,12882,00
1016,13786,00
1017,11413,00
1018,13560,00
1019,9153,00
1020,14012,00
1021,7910,00
1022,13334,00
1023,11865,00
1024,14916,00
1025,9153,00
1026,15481,00
1027,175,00
1028,2034,00
1029,5311,00
1030,3616,00
1031,3390,00
1032,2712,00
1033,133,00
1034,118,00
1035,13786,00
1036,16611,00
1037,17402,00
1038,16950,00
1039,14577,00
1040,10509,00
1041,16950,00
1042,15368,00
1043,15029,00
1044,16159,00
1045,15255,00
1046,12091,00
1047,14577,00
1048,15368,00
1049,11526,00
1050,14464,00
1051,15594,00
1052,15080,00
1053,14012,00
1054,16272,00
1055,14464,00
1056,11865,00
1057,12995,00
1058,14803,00
1059,10735,00
1060,16611,00
1061,14577,00
1062,12091,00
1063,16611,00
1064,17854,00
1065,15255,00
1066,19323,00
1067,17176,00
1068,21131,00
1069,16837,00
1070,18419,00
1071,16724,00
1072,19323,00
1073,12430,00
1074,16724,00
1075,14741,00
1076,13786,00
1077,16282,00
1078,17340,00
1079,20227,00
1080,20001,00
1081,18532,00
1082,16611,00
1083,15419,00
1084,18984,00
1085,22261,00
1086,16724,00
1087,11413,00
1088,14464,00
1089,10735,00
1090,5650,00
1091,14125,00
1092,14012,00
1093,15142,00
1094,8588,00
1095,10396,00
1096,6328,00
1097,11300,00
1098,17741,00
1099,15368,00
1100,10170,00
1101,16159,00
1102,15481,00
1103,13786,00
1104,11752,00
1105,16385,00
1106,15029,00
1107,15820,00
1108,14464,00
1109,16498,00
1110,14916,00
1111,14803,00
1112,15594,00
1113,12769,00
1114,16046,00
1115,17854,00
1116,15142,00
1117,16837,00
1118,11300,00
1119,17176,00
1120,18306,00
1121,15707,00
1122,15029,00
1123,2260,00
1124,10735,00
1125,9718,00
1126,4746,00
1127,13108,00
1128,9605,00
1129,2147,00
1130,5311,00
1131,16498,00
1132,15368,00
1133,14238,00
1134,16498,00
1135,18193,00
1136,17741,00
1137,17402,00
1138,18306,00
1139,14125,00
1140,15594,00
1141,12995,00
1142,13334,00
1143,14577,00
1144,16724,00
1145,20227,00
1146,4633,00
1147,12430,00
1148,5198,00
1149,12543,00
1150,6010,00
1151,15594,00
1152,3616,00
1153,13334,00
1154,9718,00
1155,11413,00
1156,7684,00
1157,16046,00
1158,15481,00
1159,12882,00
1160,13899,00
1161,11865,00
1162,16498,00
1163,16837,00
1164,20905,00
1165,18871,00
1166,20453,00
1167,20114,00
1168,19775,00
1169,20147,00
1170,14464,00
1171,15481,00
1172,15255,00
1173,11865,00
1174,15255,00
1175,11639,00
1176,14238,00
1177,10848,00
1178,11413,00
1179,17967,00
1180,14351,00
1181,18984,00
1182,15707,00
1183,16950,00
1184,17967,00
1185,14351,00
1186,16950,00
1187,13221,00
1188,15029,00
1189,16159,00
1190,8362,00
1191,17741,00
1192,16046,00
1193,17967,00
1194,19785,00
1195,19089,00
1196,19097,00
1197,18306,00
1198,20227,00
1199,15255,00
1200,11865,00
1201,7684,00
1202,8362,00
1203,12430,00
1204,14803,00
1205,13108,00
1206,13560,00
1207,5876,00
1208,9944,00
1209,10057,00
1210,12091,00
1211,16498,00
1212,17741,00
1213,18532,00
1214,17402,00
1215,11074,00
1216,17063,00
1217,16385,00
1218,14803,00
1219,15029,00
1220,13221,00
1221,175,00
1222,2486,00
1223,339,00
1224,2147,00
1225,904,00
1226,18758,00
1227,14464,00
1228,16950,00
1229,13786,00
1230,16724,00
1231,9153,00
1232,12995,00
1233,12204,00
1234,20340,00
1235,15481,00
1236,14803,00
1237,13899,00
1238,15820,00
1239,13786,00
1240,15481,00
1241,11187,00
1242,15481,00
1243,13525,00
1244,15255,00
1245,17628,00
1246,15368,00
1247,18306,00
1248,16950,00
1249,17402,00
1250,12204,00
1251,8701,00
1252,12204,00
1253,11187,00
1254,9831,00
1255,4764,00
1256,10509,00
1257,6554,00
1258,10170,00
1259,10848,00
1260,12091,00
1261,5198,00
1262,13899,00
1263,13334,00
1264,14125,00
1265,14464,00
1266,15594,00
1267,14577,00
1268,12317,00
1269,14690,00
1270,17402,00
1271,13899,00
1272,13221,00
1273,15029,00
1274,10735,00
1275,14012,00
1276,14577,00
